overall,verified,reviewTime,reviewerID,asin,reviewerName,summary,unixReviewTime,vote
5.0,True,2015-09-04,ALJ66O1Y6SLHA,B000K2PJ4K,Tonya B.,Five Stars,1441324800,0
3.0,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Oops!,1430870400,0
5.0,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Great,1430870400,0
5.0,True,2015-05-06,A3W11493KS6Z2L,B000K2PJ4K,NaeNae,Good,1430870400,0
2.0,True,2018-01-25,A3HX4X3TIABWOV,B000KPIHQ4,Denise A. Conte,These were recommended by my Podiatrist,1516838400,0
2.0,True,2017-01-05,AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,Not the same as all my other pairs.,1483574400,0
5.0,True,2016-10-17,A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,Great inserts,1476662400,0
5.0,True,2016-08-22,AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,Personal favorite,1471824000,0
5.0,True,2016-03-23,A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,Five Stars,1458691200,0
5.0,True,2015-06-24,AW8UBYMNJ894V,B000KPIHQ4,Cognizant Consumer,Great comfort!,1435104000,0
5.0,True,2014-11-17,A265UZVOZWTTXQ,B000KPIHQ4,William_Jasper,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,0
2.0,True,2018-01-25,A3HX4X3TIABWOV,B000V0IBDM,Denise A. Conte,These were recommended by my Podiatrist,1516838400,0
2.0,True,2017-01-05,AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,Not the same as all my other pairs.,1483574400,0
5.0,True,2016-10-17,A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,Great inserts,1476662400,0
5.0,True,2016-08-22,AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,Personal favorite,1471824000,0
5.0,True,2016-03-23,A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,Five Stars,1458691200,0
5.0,True,2015-06-24,AW8UBYMNJ894V,B000V0IBDM,Cognizant Consumer,Great comfort!,1435104000,0
5.0,True,2014-11-17,A265UZVOZWTTXQ,B000V0IBDM,William_Jasper,These insoles help my heel feels much better. I would never wear a pair of athletic ...,1416182400,0
1.0,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR5G,Amazon Customer,One Star,1520812800,0
5.0,True,2018-02-08,AGZ5OOZVDO194,B000YFSR5G,Amazon Customer,Five Stars,1518048000,0
4.0,True,2010-07-01,A3GJ3DJU1RXOHN,B000YFSR4W,JCW,size runs big,1277942400,35
5.0,True,2017-10-25,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Five Stars,1508889600,0
5.0,True,2017-10-14,A2ON4RYI9Z4SQ,B000YFSR5G,Fhteacher,Good fit,1507939200,3
1.0,True,2018-03-12,A3QY3THQ42WSCQ,B000YFSR4W,Amazon Customer,One Star,1520812800,0
5.0,True,2017-07-30,A232J1FHOQI5YN,B000YFSR5G,Louis Robbio,Excellent Product,1501372800,0
5.0,True,2017-06-16,A1EZN3E9R322YJ,B000YFSR5G,wayne ereira,Typical Quality,1497571200,0
3.0,True,2017-04-18,A3T8NHQYBQSV1X,B000YFSR5G,Mark,Don't sweat the pants,1492473600,0
5.0,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,Five Stars,1492041600,0
3.0,True,2017-04-13,A2NEJIX5NIH2ZZ,B000YFSR5G,jami,Three Stars,1492041600,0
4.0,True,2017-04-05,A3T8NHQYBQSV1X,B000YFSR5G,Mark,Four Stars,1491350400,0
3.0,True,2017-03-24,A1G0HYMR02WM2W,B000YFSR5G,Cici Ciconia,Three Stars,1490313600,0
5.0,True,2018-02-08,AGZ5OOZVDO194,B000YFSR4W,Amazon Customer,Five Stars,1518048000,0
5.0,True,2017-03-11,A2BFZUQ2XV535H,B000YFSR5G,Amazon Customer,Five Stars,1489190400,0
2.0,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Returned also,1487635200,0
2.0,True,2017-02-21,ABX2R8Q6GBTJ8,B000YFSR5G,Sammy C.,Returned,1487635200,0
4.0,True,2017-02-21,A1Y01U6OZLZE7I,B000YFSR5G,Heather Devine,Comfy and warm.,1487635200,0
1.0,True,2017-02-08,A21HH0VIBKK80J,B000YFSR5G,Sondra McDonald,"Was terribly disappointed, the pants were way too large in ...",1486512000,0
