asin,title,description,price,brand,rank,main_cat,sub-category,product_image
B0002PR25Y,Silver Forest Surgical Steel Turquoise Filigree Earrings E-8496,1.28 ounces (View shipping rates and policies,23,Silver Forest,2852593,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/51T4a8S9G7L.jpg
B0002TKBSU,Dream PJ's Blue - Large - Part #: 25BLG,5 ounces (View shipping rates and policies,15.99,Ethical/Spot,17183425,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41V-l2yz%2BgL.jpg
B0002PR25Y,Silver Forest Surgical Steel Turquoise Filigree Earrings E-8496,1.28 ounces (View shipping rates and policies,23,Silver Forest,2852593,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/51T4a8S9G7L.jpg
B0002TKBSU,Dream PJ's Blue - Large - Part #: 25BLG,5 ounces (View shipping rates and policies,15.99,Ethical/Spot,17183425,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41V-l2yz%2BgL.jpg
B00061TTKK,Girls Sizes 7/8/10/12/14 Embroidered Western Dress,,19.99,Astro,6896424,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41tkLQF3aHL.jpg
B00063W5J0,Washed Cotton Flap Hats-Khaki,4.8 ounces (View shipping rates and policies,11.85,MG,1288327,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/513FqEx9JkL.jpg
B00068962O,Glitter Sprays|2255GLD|Gold|One-Size,,39,Kryolan,7251878,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/316hhMOG%2B%2BL.jpg
B0006BDF8C,Schaefer Outfitters Legend Denim Jacket,,150,Schaefer Outfitters,12825537,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/510hzMuTUgL.jpg
B0006M4LCU,MJ Masters Mens Eel Skin Credit Card and Business Card Case| Brown,4 ounces (View shipping rates and policies,15.99,,4025238,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41Ts5SKV%2BOL.jpg
B0006M4LD4,MJ Masters Mens Eel Skin Credit Card and Business Card Case| Burgundy,4 ounces (View shipping rates and policies,19.99,,2814948,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41oWH71WazL.jpg
B0006NW5O0,SPEEDO Solid Flyback Top - Separate,,29,Speedo,1267161,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41uBTWtHyvL.jpg
B0006VWSDA,Speedo Flyback Training Suit Endurance+,,75,Speedo,5562398,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41C0%2BrUuCJL.jpg
B0007O3CA4,Ralph Lauren Light Brown Double Pleated and Cuffed New Mens Pants (38W x 30L),14.4 ounces (View shipping rates and policies,141.34,RALPH LAUREN,10268617,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/31k-6RVFpSL.jpg
B0007PQ656,MJ Masters Unisex Eel Skin Key Case| Burgundy,,17.99,MJ Masters,5934137,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/411NWQjun5L.jpg
B0007PQ660,MJ Masters Mens Eel Skin Flip Fold ID Wallet| Black,2.88 ounces (View shipping rates and policies,19.99,MJ Masters,4798364,Amazon Fashion,,https://images-na.ssl-images-amazon.com/images/I/41Xah7gQUvL.jpg
